"Language_ID","a","ã","e","ẽ","ə","h","i","ĩ","ɨ","ɨ̃","k","l","m","n","o","õ","p","s","t","tʰ","ts","u","ũ","w","ɾ","ʃ","ɯ","aː","eː","ə̃","əː","iː","ĩː","ɨː","j","oː","uː"
"sanu1240",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"nina1238",1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"yano1262",1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"yano1261",1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
