"Language_ID","a","ã","i","ĩ","j","k","m","n","ɲ̟","p","pʼ","ɾ","s","ʃ","t","ts","t̠ʃ","u","ũ","ɯ","ɯ̃","w","x","ʔ","aː","iː","ɨ","ɨ̃","ɨː","ŋ","uː","h"
"shua1257",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"achu1248",1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0
"agua1253",1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1
"huam1247",1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1
