"Language_ID","a","ɓ","dz","ɗ","e","h","i","k","kʰ","m","n","p","pʰ","ɾ","t","tʰ","ts","tsʰ","u","w","ʔ","β","aː","b","eː","iː","ɟ","ɸ","s","ɯ","ɯː","d","o","d̠ʒ","ɡ","oː","ɽ","ʃ","t̠ʃ","dʲ","ɛ","ɨ","nʲ","ɾʲ","tʲ","z"
"deni1241",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"jama1261",1,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"culi1244",1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"paum1247",1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"suru1263",1,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
