"Language_ID","a","e̞","ɣ","h","i","ɨ","j","k","l̪|l","m","n̪|n","ɲ","o̞","p","q","R̪|R","ʁ","t̪|t","t̠ʃ","w","aː","b","bː","d̪","d̪ː","d̠ʒ","ɛ","ɛː","ɡ","ɡː","iː","jː","l","lː","mː","n","nː","o","oː","t̪","wː","d","e","eː","ʎ","ɾ","s","ʃ","t","ʔ","ʕ"
"abip1241",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"kadi1248",1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"moco1246",1,0,1,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0
"pila1245",1,0,0,1,1,0,1,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1
"toba1269",1,0,0,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0
