"Language_ID","a","ã","aː","b","bː","d","dː","dʲ","e","ẽ","e̞ː","ɛ","f","ɡ","ɡː","h","i","iː","j","jː","k","kː","l","lː","m","mː","n","nː","ɲ","ŋ","o","õ","oː","p","pː","r","rː","s","ʃ","t","tː","tʲ","u","ũ","uː","w","z","ʒ","d̠ʒ","eː","ĩ","t̠ʃ","˦","˦˨","˨","˨˦","ãː","c","ẽː","ɟ","õː","d̠ʒː","dˤ","dˤː","ə","ɣ","ħ","hː","lˤ","lˤː","nˤ","nˤː","ŋː","q","qː","rˤ","ɾ","ɾˤ","sˤ","sˤː","ʃː","t̠ʃː","tˤ","tˤː","wː","x","xː","zː","zˤ","zˤː","ʒː","ʕ"
"koyr1242",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"koyr1240",1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zarm1239",1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tada1238",1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
