"Language_ID","a","aː","ãː","æː","æ̃ː","ə","ə̃ː","ɛ","h","hː","i","iː","ĩː","j","k","kː","l","lː","m","mː","n","nː","ɔ","ɔː","ɔ̃ː","p","pː","s","ʃ","t","tː","t̠ʃ","t̠ʃː","u","uː","ũː","w","wː","x","ɛː","ɛ̃ː","ʰk","ʰp","ʰs̪|ʰs","ʰʃ","ʰt","ʰt̠ʃ","ɪ","l̪|l","oː","õː","s̪|s","ʊ","ʔ","e̞","kʰ","kʷ","kʷʰ","ɬ̪|ɬ","n̪|n","o̞","pʰ","ɹ","ɻ","t̪|t","t̪ʰ|tʰ","t̪s̪|ts","t̪s̪ʰ|tsʰ","t̠ʃʰ","ɰ","e","o","θ","eː","əː","ɣ","k̰","k̰ʷ","ɬ","n̪","p̰","r","t̪","t̰","t̠ʃ̰","ø"
"unam1242",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"east2542",1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"wiyo1248",1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"shaw1249",1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"yuro1248",1,1,0,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
"siks1238",1,1,0,1,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
