"Language_ID","a","ã","b","dʲ","dz","ɛ","ɡ","h","i","ĩ","k","m","mː","n","nː","ɲ","ɲː","o","õ","p","ɸ","ɾ","s","ʃ","t","tʲ","ts","t̠ʃ","ɯ","ɯ̃","x","ʒ","ʔ","β","d","d̠ʒ","e","ɨ","ŋ","u","c","ɟ","θ"
"ocai1244",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"mini1256",1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0
"muru1274",1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1
"nonu1241",1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0
