"Language_ID","a","aː","b","d","d̠ʒ","ɛ","ɛː","ɡ","iː","i̙ː","iæ","ie","ioː","ɪ","ɪ̙","j","k","l","m","n","ɲ","ŋ","o","ɔ","ɔː","p","r","s","t","t̠ʃ","u","uː","ʊ̙","ʊ̙ː","z","β","d̪|d","ɘ","i","ʝ","l̪|l","n̪|n","r̪|r","s̪|s","t̪|t","x","d̪","e̞","f","l̪","n̪","ø","o̞","ɵ̞","s̪","ʃ","t̪","ɑ","ə","ʊ","w","ä","a̰","äː","æ","æ̰","æː","dz","e̞̰","ɜ","ɜː","ie̞","l̪ʲ","ø̞","øː","o̞ː","ɵ̞̰","ts","y","yː"
"even1260",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"nana1257",1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"manc1252",1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"even1259",0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"udih1248",0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
