"Language_ID","a","aː","e̞","e̞ː","ə̃","ə̃ː","ɤ̞","ɤ̞ː","h","i","iː","j","k","l","n","s","t","t̠ʃ","ɯ̃","ɯ̃ː","ɰ","ʔ","d","dz","ɡ","m","o̞","ʃ","u","w","æ","b","d̪z̪|dz","e","ɛ̃","n̪|n","ɔ̃","s̪|s","t̪|t","ẽ","o","õ","r","x","θ"
"onei1249",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cher1273",1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sene1264",1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
"huro1249",1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1
