"Language_ID","a","b","ɓ","c","d̪|d","ɗ̪|ɗ","e̞","ɡ","h","i","j","ɟ","k","l̪|l","m","n̪|n","ɲ","ŋ","o̞","p","r̪|r","ʃ","t̪|t","u","w","θ","˦","˨","d","ɗ","e","ɛ","ɠ","ʄ","l","n","o","ɔ","ɾ","s","t","x","z","˦˨","˨˦","aː","d̪","ð","ðː","d̠ʒ","eː","ɛː","ɣ","iː","ɪ","ɪː","ʝ","lː","mː","nː","ɲː","ŋː","oː","ɔː","r","t̪","t̺","t̠ʃ","ʈ","uː","ʊ","ʊː","v","ʒ","β","cç","cçʼ","ɟʝ","kʼ","tʼ","ʔ","ɖ","ɡʷ","kʷ"
"murl1244",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"suri1267",1,1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"didi1258",1,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"meen1242",1,1,1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0
"nari1240",1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1
