"Language_ID","a","ð","ɣ","h","i","j","j̥","k","l̪|l","ɬ̪|ɬ","m","m̥","n̪|n","n̪̥|n̥","ŋ","ŋ̥","q","ʁ","ʃ","t̪|t","t̪s̪|ts","u","w","ʍ","x","ʒ","χ","ə","f","ɣʷ","kʷ","l̪̥|l̥","ŋʷ","ŋ̥ʷ","p","qʷ","ɹ̪|ɹ","ɹ̪̥|ɹ̥","ʁʷ","s̪|s","v","xʷ","z̪|z","χʷ","fː","ʝ","l̪","ɬ̪ː","n̪","t̪","xː","β","χː","l","l̥","ʎ","ʎ̥","n","ɲ","s","t","t̠ʃ","ʔ","ä","ɨ","r"
"aleu1260",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cent2128",1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"kala1399",1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"nort2943",1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0
"nauk1242",0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,1
