"Language_ID","a","ã","a̰","ã̰","ɓ","ɗ̪|ɗ","e̞","ẽ̞","e̞̰","ẽ̞̰","h","hˀ","i","ĩ","ḭ","ḭ̃","j","k","kʰ","kʷ","kʷʰ","kʷʼ","kʼ","n","n̪̰|n̰","o̞","õ̞","o̞̰","õ̞̰","p","pʰ","pʼ","ɺ̠","ɺ̠̰","s","sˀ","t","t̪ʰ|tʰ","tʼ","u","ṵ","w","ʔ","ɗ","e","ẽ","ḛ","ḛ̃","l","m","o","o̰","ũ","ṵ̃","β","õ","õ̰","tʰ"
"sout2994",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"khit1238",1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
"latu1238",1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0
"mama1278",1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"saba1268",1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0
