"Language_ID","a","b","e","h","j","k","l̪|l","ɬ̪|ɬ","m","n̪|n","o","p","ɸ","s","t̪","t̠ʃ","w","aː","f","i","iː","l","ɬ","n","oː","ʃ","t","˦","˦˥˦","˧","˨","ɕ","l̪","ɬ̪","n̪","u","uː","ʔ","ãː","ĩː","õː"
"alab1237",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"choc1276",1,1,0,1,1,1,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"koas1236",1,1,0,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0
"chic1270",1,1,0,1,1,1,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1
