"Language_ID","a","b","d","d̠ʒ","e̞","f","ɡ","h","i","ɨ","j","k","l","ɭ","m","n","ɲ","o̞","p","ɸ","ɾ","s","ʃ","t","t̠ʃ","u","w","z","ʔ","e","ə","ɛ","ɪ","ŋ","o","ɔ","r","ʉ","ʊ","ç","ɣ","v","˦","˧","˨","c","ɟ"
"cent2050",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"daza1242",1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"teda1241",1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
"zagh1240",1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1
