"Language_ID","a̟","e̞","ə̆","h","ɪ","k","kʰ","kʼ","l̪ˠ|lˠ","m","n̪|n","o̞","p","pʰ","pʼ","qʼ","r̪|r","ʁ","s","ʃ","t̪","t̪ʰ","ts","tsʰ","tsʼ","t̠ʃ","t̠ʃʰ","t̠ʃʼ","t̪ʼ","ʊ","z","ʒ","β","χ","a","b","cʰ","cʼ","d̪","dz","d̠ʒ","ɛ","f","ɡ","i","j","ɟ","l","n̪","ɔ","qχʼ","ɾ","u","v","ä","äː","æ","æː","ɛː","iː","œ","œː","ɔː","qʰ","r","uː","ɯ","w","y","yː","ɑ","lʲ","ʔ"
"nucl1302",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lazz1240",0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"svan1243",0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
"ming1252",0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,1,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1
