"Language_ID","a","æ","ə","i","j","k","kː","l","m","mː","n","nː","ɲ","ŋ","p","pː","r","ɹ","t","tː","t̠ʃ","t̠ʃː","ʊ","w","e","ɭ","ɳ","ȵ","ɻ","ʈ","ȶ","u","ð","k͈","k͉","l̪","n̪","p͈","p͉","t͈","t͉","t̪͈","ʈ͈","ʈ͉","ȶ͈","ȶ͉","ʐ","ʑ","β","ɸ","t̪͉","ȴ","ɵ"
"mara1386",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mari1417",1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mari1419",1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"mari1424",1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0
"mart1254",1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"amii1238",1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
