matrix_id,baseline,p_NODF,p_Temp,sign_NODF,sign_Temp
vanschaik2009_unk_present,c0,0.4620,0.3540,antinested,nested
vanschaik2009_unk_present,c1,0.1560,0.9180,antinested,antinested
vanschaik2009_unk_present,curveball,0.0080,0.7200,antinested,antinested
vanschaik2009_unk_present,r0,0.2060,0.3020,nested,nested
vanschaik2009_unk_present,r00,0.1040,0.1300,nested,nested
vanschaik2009_unk_present,r1,0.9680,0.2520,nested,antinested
vanschaik2009_unk_present,r2,0.9880,0.0020,antinested,antinested
vanschaik2009_unk_present,swap,0.0240,0.7540,antinested,antinested
welsch_etal1992,c0,0.0000,0.0000,nested,nested
welsch_etal1992,c1,0.0000,0.0000,nested,nested
welsch_etal1992,curveball,0.0060,0.0860,antinested,antinested
welsch_etal1992,r0,0.0000,0.0000,nested,nested
welsch_etal1992,r00,0.0000,0.0000,nested,nested
welsch_etal1992,r1,0.0020,0.0020,nested,nested
welsch_etal1992,r2,0.0280,0.0000,antinested,antinested
welsch_etal1992,swap,0.0300,0.6000,antinested,antinested
whiten_habitualcustomary_only,c0,0.0000,0.0000,nested,nested
whiten_habitualcustomary_only,c1,0.3120,0.2720,nested,nested
whiten_habitualcustomary_only,curveball,0.8640,0.2280,antinested,nested
whiten_habitualcustomary_only,r0,0.0000,0.2860,nested,nested
whiten_habitualcustomary_only,r00,0.0000,0.0140,nested,nested
whiten_habitualcustomary_only,r1,0.0020,0.1980,nested,antinested
whiten_habitualcustomary_only,r2,0.0020,0.0000,nested,antinested
whiten_habitualcustomary_only,swap,0.6120,0.3420,antinested,nested
whiten_unknowns_are_absent,c0,0.0000,0.0000,nested,nested
whiten_unknowns_are_absent,c1,0.0960,0.1280,nested,nested
whiten_unknowns_are_absent,curveball,0.4800,0.1820,nested,nested
whiten_unknowns_are_absent,r0,0.0020,0.0320,nested,nested
whiten_unknowns_are_absent,r00,0.0000,0.0000,nested,nested
whiten_unknowns_are_absent,r1,0.0380,0.5720,nested,antinested
whiten_unknowns_are_absent,r2,0.0380,0.0000,nested,antinested
whiten_unknowns_are_absent,swap,0.5180,0.1500,nested,nested
whiten_unknowns_are_present,c0,0.0000,0.0000,nested,nested
whiten_unknowns_are_present,c1,0.1180,0.0240,nested,nested
whiten_unknowns_are_present,curveball,0.1160,0.6540,antinested,antinested
whiten_unknowns_are_present,r0,0.0080,0.0000,nested,nested
whiten_unknowns_are_present,r00,0.0000,0.0000,nested,nested
whiten_unknowns_are_present,r1,0.3500,0.9060,nested,nested
whiten_unknowns_are_present,r2,0.4420,0.0000,nested,antinested
whiten_unknowns_are_present,swap,0.2280,0.6860,antinested,antinested
Afro_Asiatic,c0,0.0000,0.0000,nested,nested
Afro_Asiatic,c1,0.1120,0.0000,nested,nested
Afro_Asiatic,curveball,0.0000,0.0100,antinested,nested
Afro_Asiatic,r0,0.0000,0.0000,nested,nested
Afro_Asiatic,r00,0.0000,0.0000,nested,nested
Afro_Asiatic,r1,0.0000,0.0000,nested,nested
Afro_Asiatic,r2,0.0000,0.0000,nested,antinested
Afro_Asiatic,swap,0.0140,0.0000,antinested,nested
Algic,c0,0.5100,0.0000,antinested,nested
Algic,c1,0.0860,0.1220,antinested,nested
Algic,curveball,0.0040,0.0820,antinested,nested
Algic,r0,0.0000,0.4140,nested,nested
Algic,r00,0.0000,0.0300,nested,nested
Algic,r1,0.0000,0.0160,nested,antinested
Algic,r2,0.0000,0.0000,nested,antinested
Algic,swap,0.0100,0.1380,antinested,nested
Arawakan,c0,0.0100,0.0000,nested,nested
Arawakan,c1,0.6020,0.0000,nested,nested
Arawakan,curveball,0.0020,0.0140,antinested,nested
Arawakan,r0,0.0000,0.0000,nested,nested
Arawakan,r00,0.0000,0.0000,nested,nested
Arawakan,r1,0.0000,0.0000,nested,nested
Arawakan,r2,0.0000,0.0000,nested,antinested
Arawakan,swap,0.0000,0.0080,antinested,nested
Arawan,c0,0.0120,0.5880,antinested,nested
Arawan,c1,0.0140,0.8240,antinested,nested
Arawan,curveball,0.0060,0.9380,antinested,antinested
Arawan,r0,0.0020,0.0460,nested,nested
Arawan,r00,0.0080,0.0920,nested,nested
Arawan,r1,0.0360,0.5080,nested,antinested
Arawan,r2,0.0060,0.0000,nested,antinested
Arawan,swap,0.0040,0.9580,antinested,antinested
Athabaskan_Eyak_Tlingit,c0,0.1220,0.0000,antinested,nested
Athabaskan_Eyak_Tlingit,c1,0.0100,0.0720,antinested,nested
Athabaskan_Eyak_Tlingit,curveball,0.0000,0.0000,antinested,nested
Athabaskan_Eyak_Tlingit,r0,0.0000,0.0000,nested,nested
Athabaskan_Eyak_Tlingit,r00,0.0000,0.0000,nested,nested
Athabaskan_Eyak_Tlingit,r1,0.0000,0.0060,nested,antinested
Athabaskan_Eyak_Tlingit,r2,0.0000,0.0000,nested,antinested
Athabaskan_Eyak_Tlingit,swap,0.0040,0.0000,antinested,nested
Austroasiatic,c0,0.0000,0.0000,nested,nested
Austroasiatic,c1,0.1480,0.0000,nested,nested
Austroasiatic,curveball,0.0060,0.0040,antinested,nested
Austroasiatic,r0,0.0000,0.0000,nested,nested
Austroasiatic,r00,0.0000,0.0000,nested,nested
Austroasiatic,r1,0.0000,0.0000,nested,nested
Austroasiatic,r2,0.0000,0.0000,nested,antinested
Austroasiatic,swap,0.0280,0.0260,antinested,nested
Austronesian,c0,0.0000,0.0000,nested,nested
Austronesian,c1,0.0000,0.0000,nested,nested
Austronesian,curveball,0.0220,0.0000,nested,nested
Austronesian,r0,0.0000,0.0000,nested,nested
Austronesian,r00,0.0000,0.0000,nested,nested
Austronesian,r1,0.0000,0.0000,nested,nested
Austronesian,r2,0.0000,0.0000,nested,antinested
Austronesian,swap,0.4600,0.0000,antinested,nested
Barbacoan,c0,0.8380,0.9420,nested,antinested
Barbacoan,c1,0.9960,0.7480,nested,antinested
Barbacoan,curveball,0.7260,0.9720,nested,nested
Barbacoan,r0,0.0000,0.4180,nested,antinested
Barbacoan,r00,0.0040,0.4360,nested,antinested
Barbacoan,r1,0.0000,0.0140,nested,antinested
Barbacoan,r2,0.0000,0.0000,nested,antinested
Barbacoan,swap,0.6800,0.8320,nested,antinested
Cariban,c0,0.1220,0.0000,nested,nested
Cariban,c1,0.4880,0.0280,nested,nested
Cariban,curveball,0.0000,0.0080,antinested,nested
Cariban,r0,0.0000,0.0000,nested,nested
Cariban,r00,0.0000,0.0000,nested,nested
Cariban,r1,0.0000,0.0000,nested,nested
Cariban,r2,0.0000,0.0000,nested,antinested
Cariban,swap,0.0020,0.0120,antinested,nested
Central_Sudanic,c0,0.0020,0.0000,nested,nested
Central_Sudanic,c1,0.7360,0.0000,nested,nested
Central_Sudanic,curveball,0.0240,0.8860,antinested,antinested
Central_Sudanic,r0,0.0000,0.0000,nested,nested
Central_Sudanic,r00,0.0000,0.0000,nested,nested
Central_Sudanic,r1,0.0000,0.0240,nested,nested
Central_Sudanic,r2,0.0000,0.0000,nested,antinested
Central_Sudanic,swap,0.0000,0.9220,antinested,antinested
Chibchan,c0,0.0340,0.0060,nested,nested
Chibchan,c1,0.4780,0.1260,nested,nested
Chibchan,curveball,0.3320,0.0220,antinested,nested
Chibchan,r0,0.0000,0.0000,nested,nested
Chibchan,r00,0.0000,0.0000,nested,nested
Chibchan,r1,0.0000,0.4120,nested,nested
Chibchan,r2,0.0000,0.0000,nested,antinested
Chibchan,swap,0.2880,0.0400,antinested,nested
Chicham,c0,0.1660,0.3660,nested,nested
Chicham,c1,0.2240,0.4040,nested,nested
Chicham,curveball,0.7080,0.6840,nested,antinested
Chicham,r0,0.8420,0.0940,antinested,nested
Chicham,r00,0.8800,0.0920,antinested,nested
Chicham,r1,0.7440,0.9440,antinested,antinested
Chicham,r2,0.1820,0.0300,nested,antinested
Chicham,swap,0.6960,0.6680,nested,antinested
Chocoan,c0,0.0080,0.0100,antinested,antinested
Chocoan,c1,0.0060,0.0020,antinested,antinested
Chocoan,curveball,0.0140,0.0020,antinested,antinested
Chocoan,r0,0.0000,0.0000,nested,nested
Chocoan,r00,0.0000,0.0120,nested,nested
Chocoan,r1,0.0260,0.6840,nested,antinested
Chocoan,r2,0.0000,0.0000,nested,antinested
Chocoan,swap,0.0060,0.0060,antinested,antinested
Chukotko_Kamchatkan,c0,0.0760,0.4100,antinested,nested
Chukotko_Kamchatkan,c1,0.0440,0.8440,antinested,nested
Chukotko_Kamchatkan,curveball,0.0980,0.6000,antinested,nested
Chukotko_Kamchatkan,r0,0.1620,0.0000,nested,antinested
Chukotko_Kamchatkan,r00,0.0880,0.0240,nested,antinested
Chukotko_Kamchatkan,r1,0.2160,0.0000,nested,antinested
Chukotko_Kamchatkan,r2,0.1060,0.0000,nested,antinested
Chukotko_Kamchatkan,swap,0.0360,0.4420,antinested,nested
Dravidian,c0,0.0000,0.0000,nested,nested
Dravidian,c1,0.0000,0.0000,nested,nested
Dravidian,curveball,0.9300,0.0440,antinested,nested
Dravidian,r0,0.0000,0.0000,nested,nested
Dravidian,r00,0.0000,0.0000,nested,nested
Dravidian,r1,0.0000,0.0000,nested,nested
Dravidian,r2,0.0000,0.0000,nested,antinested
Dravidian,swap,0.5460,0.0920,antinested,nested
Eskimo_Aleut,c0,0.9580,0.2680,antinested,nested
Eskimo_Aleut,c1,0.4800,0.7700,antinested,nested
Eskimo_Aleut,curveball,0.0280,0.0900,antinested,antinested
Eskimo_Aleut,r0,0.0000,0.8120,nested,nested
Eskimo_Aleut,r00,0.0000,0.3300,nested,nested
Eskimo_Aleut,r1,0.0000,0.0140,nested,antinested
Eskimo_Aleut,r2,0.0000,0.0000,nested,antinested
Eskimo_Aleut,swap,0.0460,0.1240,antinested,antinested
Guahiboan,c0,0.0000,0.5780,antinested,antinested
Guahiboan,c1,0.0000,0.4840,antinested,antinested
Guahiboan,curveball,0.0020,0.0040,antinested,antinested
Guahiboan,r0,0.0800,0.5180,nested,nested
Guahiboan,r00,0.0980,0.4020,nested,nested
Guahiboan,r1,0.1320,0.1220,nested,antinested
Guahiboan,r2,0.0020,0.0000,nested,antinested
Guahiboan,swap,0.0000,0.0000,antinested,antinested
Guaicuruan,c0,0.0000,0.6520,antinested,nested
Guaicuruan,c1,0.0000,0.8980,antinested,antinested
Guaicuruan,curveball,0.0000,0.0120,antinested,antinested
Guaicuruan,r0,0.2160,0.0380,nested,nested
Guaicuruan,r00,0.1600,0.0240,nested,nested
Guaicuruan,r1,0.5740,0.2440,nested,antinested
Guaicuruan,r2,0.0180,0.0000,nested,antinested
Guaicuruan,swap,0.0040,0.0100,antinested,antinested
Gunwinyguan,c0,0.0000,0.0240,antinested,antinested
Gunwinyguan,c1,0.0000,0.0140,antinested,antinested
Gunwinyguan,curveball,0.0020,0.0100,antinested,antinested
Gunwinyguan,r0,0.0000,0.0000,nested,nested
Gunwinyguan,r00,0.0000,0.0000,nested,nested
Gunwinyguan,r1,0.7760,0.2840,nested,antinested
Gunwinyguan,r2,0.0000,0.0000,nested,antinested
Gunwinyguan,swap,0.0060,0.0460,antinested,antinested
Heibanic,c0,0.0000,0.1340,antinested,nested
Heibanic,c1,0.0000,0.4320,antinested,nested
Heibanic,curveball,0.0000,0.0240,antinested,antinested
Heibanic,r0,0.0000,0.0000,nested,nested
Heibanic,r00,0.0000,0.0000,nested,nested
Heibanic,r1,0.0020,0.6380,nested,antinested
Heibanic,r2,0.0000,0.0000,nested,antinested
Heibanic,swap,0.0000,0.0020,antinested,antinested
Huitotoan,c0,0.3500,0.1000,antinested,nested
Huitotoan,c1,0.2580,0.3140,antinested,nested
Huitotoan,curveball,0.0000,0.0000,antinested,antinested
Huitotoan,r0,0.0340,0.3860,nested,nested
Huitotoan,r00,0.0020,0.0220,nested,nested
Huitotoan,r1,0.1440,0.2940,nested,antinested
Huitotoan,r2,0.0080,0.0000,nested,antinested
Huitotoan,swap,0.0000,0.0000,antinested,antinested
Ijoid,c0,0.0000,0.0600,antinested,antinested
Ijoid,c1,0.0000,0.0520,antinested,antinested
Ijoid,curveball,0.0000,0.0020,antinested,antinested
Ijoid,r0,0.0000,0.0000,nested,nested
Ijoid,r00,0.0000,0.0100,nested,nested
Ijoid,r1,0.1940,0.4340,nested,antinested
Ijoid,r2,0.0000,0.0000,nested,antinested
Ijoid,swap,0.0040,0.0020,antinested,antinested
Indo_European,c0,0.0000,0.0000,nested,nested
Indo_European,c1,0.0000,0.0000,nested,nested
Indo_European,curveball,0.4320,0.0020,antinested,nested
Indo_European,r0,0.0000,0.0000,nested,nested
Indo_European,r00,0.0000,0.0000,nested,nested
Indo_European,r1,0.0000,0.0000,nested,nested
Indo_European,r2,0.0000,0.0000,nested,antinested
Indo_European,swap,0.0280,0.0080,antinested,nested
Iroquoian,c0,0.6240,0.8040,antinested,antinested
Iroquoian,c1,0.4800,0.6360,antinested,antinested
Iroquoian,curveball,0.8340,0.3700,antinested,nested
Iroquoian,r0,0.0000,0.1460,nested,antinested
Iroquoian,r00,0.0040,0.1060,nested,antinested
Iroquoian,r1,0.0000,0.0020,nested,antinested
Iroquoian,r2,0.0000,0.0000,nested,antinested
Iroquoian,swap,0.6380,0.3300,antinested,nested
Iwaidjan_Proper,c0,0.0000,0.0000,antinested,antinested
Iwaidjan_Proper,c1,0.0000,0.0000,antinested,antinested
Iwaidjan_Proper,curveball,0.0040,0.0040,antinested,antinested
Iwaidjan_Proper,r0,0.0420,0.0140,antinested,nested
Iwaidjan_Proper,r00,0.0300,0.5360,antinested,antinested
Iwaidjan_Proper,r1,0.0960,0.9260,antinested,antinested
Iwaidjan_Proper,r2,0.1740,0.0000,nested,antinested
Iwaidjan_Proper,swap,0.0000,0.0000,antinested,antinested
Kadugli_Krongo,c0,0.5000,0.0000,antinested,nested
Kadugli_Krongo,c1,0.1040,0.0020,antinested,nested
Kadugli_Krongo,curveball,0.0000,0.0000,antinested,antinested
Kadugli_Krongo,r0,0.0000,0.0000,nested,nested
Kadugli_Krongo,r00,0.0000,0.0000,nested,nested
Kadugli_Krongo,r1,0.7000,0.6160,nested,nested
Kadugli_Krongo,r2,0.0020,0.0000,nested,antinested
Kadugli_Krongo,swap,0.0000,0.0000,antinested,antinested
Kartvelian,c0,0.0000,0.2820,antinested,nested
Kartvelian,c1,0.0000,0.5220,antinested,nested
Kartvelian,curveball,0.0000,0.5320,antinested,antinested
Kartvelian,r0,0.0100,0.0900,nested,nested
Kartvelian,r00,0.0100,0.0740,nested,nested
Kartvelian,r1,0.0240,0.1140,nested,antinested
Kartvelian,r2,0.0000,0.0000,nested,antinested
Kartvelian,swap,0.0000,0.7020,antinested,antinested
Kiowa_Tanoan,c0,0.1580,0.0080,antinested,nested
Kiowa_Tanoan,c1,0.0240,0.1340,antinested,nested
Kiowa_Tanoan,curveball,0.0000,0.0000,antinested,nested
Kiowa_Tanoan,r0,0.0000,0.7880,nested,antinested
Kiowa_Tanoan,r00,0.0000,0.2000,nested,nested
Kiowa_Tanoan,r1,0.0000,0.0000,nested,antinested
Kiowa_Tanoan,r2,0.0000,0.0000,nested,antinested
Kiowa_Tanoan,swap,0.0000,0.0020,antinested,nested
Koman,c0,0.8160,0.8720,nested,nested
Koman,c1,0.8740,0.8500,nested,nested
Koman,curveball,0.4040,0.7080,nested,nested
Koman,r0,0.0120,0.0260,antinested,nested
Koman,r00,0.0040,0.2720,antinested,nested
Koman,r1,0.1660,0.2340,antinested,nested
Koman,r2,0.9560,0.8680,nested,antinested
Koman,swap,0.5340,0.7620,nested,nested
Mande,c0,0.0000,0.0000,nested,nested
Mande,c1,0.0000,0.0000,nested,nested
Mande,curveball,0.0000,0.0080,antinested,nested
Mande,r0,0.0000,0.0000,nested,nested
Mande,r00,0.0000,0.0000,nested,nested
Mande,r1,0.0000,0.0000,nested,nested
Mande,r2,0.0000,0.0020,nested,antinested
Mande,swap,0.0060,0.0000,antinested,nested
Mangarrayi_Maran,c0,0.0000,0.2680,antinested,antinested
Mangarrayi_Maran,c1,0.0000,0.2620,antinested,antinested
Mangarrayi_Maran,curveball,0.0040,0.0040,antinested,antinested
Mangarrayi_Maran,r0,0.8240,0.3620,antinested,nested
Mangarrayi_Maran,r00,0.8760,0.4100,antinested,nested
Mangarrayi_Maran,r1,0.6520,0.1960,antinested,antinested
Mangarrayi_Maran,r2,0.0760,0.0000,nested,antinested
Mangarrayi_Maran,swap,0.0000,0.0000,antinested,antinested
Maningrida,c0,0.0120,0.9340,antinested,nested
Maningrida,c1,0.0120,0.9580,antinested,antinested
Maningrida,curveball,0.0040,0.2980,antinested,antinested
Maningrida,r0,0.3360,0.3560,nested,nested
Maningrida,r00,0.3760,0.3300,nested,nested
Maningrida,r1,0.4620,0.5040,nested,antinested
Maningrida,r2,0.0920,0.0040,nested,antinested
Maningrida,swap,0.0060,0.3220,antinested,antinested
Matacoan,c0,0.0000,0.3080,antinested,antinested
Matacoan,c1,0.0000,0.1860,antinested,antinested
Matacoan,curveball,0.0060,0.0020,antinested,antinested
Matacoan,r0,0.3820,0.5620,nested,antinested
Matacoan,r00,0.2920,0.9800,nested,nested
Matacoan,r1,0.4920,0.0100,nested,antinested
Matacoan,r2,0.0260,0.0000,nested,antinested
Matacoan,swap,0.0000,0.0000,antinested,antinested
Mayan,c0,0.0000,0.4060,antinested,nested
Mayan,c1,0.0000,0.9860,antinested,antinested
Mayan,curveball,0.0000,0.2580,antinested,antinested
Mayan,r0,0.0000,0.0000,nested,nested
Mayan,r00,0.0000,0.0000,nested,nested
Mayan,r1,0.0100,0.5740,nested,antinested
Mayan,r2,0.0000,0.0000,nested,antinested
Mayan,swap,0.0060,0.5680,antinested,antinested
Mirndi,c0,0.0000,0.8220,antinested,nested
Mirndi,c1,0.0000,0.9380,antinested,nested
Mirndi,curveball,0.0000,0.4260,antinested,antinested
Mirndi,r0,0.8040,0.0000,antinested,nested
Mirndi,r00,0.7440,0.0000,antinested,nested
Mirndi,r1,0.0780,0.3480,antinested,nested
Mirndi,r2,0.1560,0.0020,nested,antinested
Mirndi,swap,0.0000,0.3060,antinested,antinested
Mixe_Zoque,c0,0.0340,0.3540,antinested,nested
Mixe_Zoque,c1,0.0200,0.6400,antinested,nested
Mixe_Zoque,curveball,0.0020,0.8180,antinested,nested
Mixe_Zoque,r0,0.0000,0.0000,nested,nested
