matrix_id,baseline,p_NODF,p_Temp,sign_NODF,sign_Temp
Nuclear_Macro_Je,c0,0.0000,0.0000,nested,nested
Nuclear_Macro_Je,c1,0.0960,0.0000,nested,nested
Nuclear_Macro_Je,curveball,0.0060,0.9900,antinested,antinested
Nuclear_Macro_Je,r0,0.0000,0.0000,nested,nested
Nuclear_Macro_Je,r00,0.0000,0.0000,nested,nested
Nuclear_Macro_Je,r1,0.0000,0.0000,nested,nested
Nuclear_Macro_Je,r2,0.0000,0.0000,nested,antinested
Nuclear_Macro_Je,swap,0.0000,0.6780,antinested,nested
Nuclear_Torricelli,c0,0.2440,0.4220,nested,nested
Nuclear_Torricelli,c1,0.5600,0.7720,nested,nested
Nuclear_Torricelli,curveball,0.2780,0.7660,nested,antinested
Nuclear_Torricelli,r0,0.0000,0.0160,nested,nested
Nuclear_Torricelli,r00,0.0000,0.0320,nested,nested
Nuclear_Torricelli,r1,0.0000,0.2780,nested,antinested
Nuclear_Torricelli,r2,0.0000,0.0000,nested,antinested
Nuclear_Torricelli,swap,0.3360,0.5340,nested,antinested
Nuclear_Trans_New_Guinea,c0,0.0000,0.0000,nested,nested
Nuclear_Trans_New_Guinea,c1,0.0160,0.0020,nested,nested
Nuclear_Trans_New_Guinea,curveball,0.3640,0.0320,antinested,nested
Nuclear_Trans_New_Guinea,r0,0.0000,0.0000,nested,nested
Nuclear_Trans_New_Guinea,r00,0.0000,0.0000,nested,nested
Nuclear_Trans_New_Guinea,r1,0.0000,0.0000,nested,nested
Nuclear_Trans_New_Guinea,r2,0.0000,0.0000,nested,antinested
Nuclear_Trans_New_Guinea,swap,0.0040,0.0200,antinested,nested
Nyulnyulan,c0,0.0000,0.0260,antinested,nested
Nyulnyulan,c1,0.0000,0.0680,antinested,nested
Nyulnyulan,curveball,0.0020,0.0060,antinested,antinested
Nyulnyulan,r0,0.3760,0.0000,antinested,nested
Nyulnyulan,r00,0.2620,0.0000,antinested,nested
Nyulnyulan,r1,0.0000,0.0360,antinested,nested
Nyulnyulan,r2,0.0200,0.0040,antinested,antinested
Nyulnyulan,swap,0.0000,0.0140,antinested,antinested
Otomanguean,c0,0.0000,0.0000,nested,nested
Otomanguean,c1,0.1880,0.0020,nested,nested
Otomanguean,curveball,0.0020,0.0020,antinested,nested
Otomanguean,r0,0.0000,0.0000,nested,nested
Otomanguean,r00,0.0000,0.0000,nested,nested
Otomanguean,r1,0.0000,0.5900,nested,nested
Otomanguean,r2,0.0000,0.0000,nested,antinested
Otomanguean,swap,0.0200,0.0580,antinested,nested
Pama_Nyungan,c0,0.0040,0.0000,nested,nested
Pama_Nyungan,c1,0.0740,0.0000,antinested,nested
Pama_Nyungan,curveball,0.0120,0.0020,antinested,nested
Pama_Nyungan,r0,0.0000,0.0000,nested,nested
Pama_Nyungan,r00,0.0000,0.0000,nested,nested
Pama_Nyungan,r1,0.0000,0.0000,nested,nested
Pama_Nyungan,r2,0.0000,0.0000,antinested,antinested
Pama_Nyungan,swap,0.0040,0.0020,antinested,nested
Pano_Tacanan,c0,0.0060,0.8320,antinested,antinested
Pano_Tacanan,c1,0.0020,0.6960,antinested,antinested
Pano_Tacanan,curveball,0.1140,0.0160,antinested,nested
Pano_Tacanan,r0,0.0000,0.0000,nested,nested
Pano_Tacanan,r00,0.0000,0.0000,nested,nested
Pano_Tacanan,r1,0.0000,0.0000,nested,nested
Pano_Tacanan,r2,0.0000,0.0000,nested,antinested
Pano_Tacanan,swap,0.0980,0.0040,antinested,nested
Quechuan,c0,0.0180,0.0000,nested,nested
Quechuan,c1,0.4120,0.0000,nested,nested
Quechuan,curveball,0.0000,0.0200,antinested,nested
Quechuan,r0,0.0000,0.0000,nested,nested
Quechuan,r00,0.0000,0.0000,nested,nested
Quechuan,r1,0.0000,0.0000,nested,nested
Quechuan,r2,0.0000,0.0000,nested,antinested
Quechuan,swap,0.0000,0.0160,antinested,nested
Saharan,c0,0.0000,0.3300,antinested,nested
Saharan,c1,0.0020,0.3580,antinested,nested
Saharan,curveball,0.0020,0.1140,antinested,nested
Saharan,r0,0.3260,0.0020,nested,nested
Saharan,r00,0.3780,0.0420,nested,nested
Saharan,r1,0.5400,0.3240,nested,nested
Saharan,r2,0.0060,0.0180,nested,antinested
Saharan,swap,0.0020,0.1580,antinested,nested
Salishan,c0,0.0000,0.0060,antinested,nested
Salishan,c1,0.0000,0.1200,antinested,nested
Salishan,curveball,0.0000,0.0020,antinested,nested
Salishan,r0,0.0000,0.0000,nested,nested
Salishan,r00,0.0000,0.0000,nested,nested
Salishan,r1,0.0000,0.5840,nested,nested
Salishan,r2,0.0000,0.0000,nested,antinested
Salishan,swap,0.0060,0.0540,antinested,nested
Sepik,c0,0.0000,0.0020,nested,nested
Sepik,c1,0.0960,0.0860,nested,nested
Sepik,curveball,0.3760,0.0240,nested,nested
Sepik,r0,0.0000,0.0000,nested,nested
Sepik,r00,0.0000,0.0000,nested,nested
Sepik,r1,0.0000,0.8540,nested,antinested
Sepik,r2,0.0000,0.0000,nested,antinested
Sepik,swap,0.1700,0.0020,nested,nested
Sino_Tibetan,c0,0.0000,0.0000,nested,nested
Sino_Tibetan,c1,0.0000,0.0000,nested,nested
Sino_Tibetan,curveball,0.2120,0.0000,antinested,nested
Sino_Tibetan,r0,0.0000,0.0000,nested,nested
Sino_Tibetan,r00,0.0000,0.0000,nested,nested
Sino_Tibetan,r1,0.0000,0.0000,nested,nested
Sino_Tibetan,r2,0.0000,0.0000,nested,antinested
Sino_Tibetan,swap,0.0020,0.0080,antinested,nested
Songhay,c0,0.0440,0.0000,nested,nested
Songhay,c1,0.5720,0.0020,nested,nested
Songhay,curveball,0.0000,0.0500,antinested,antinested
Songhay,r0,0.0180,0.1220,nested,nested
Songhay,r00,0.0000,0.0000,nested,nested
Songhay,r1,0.0820,0.1600,nested,antinested
Songhay,r2,0.0040,0.0000,nested,antinested
Songhay,swap,0.0020,0.0560,antinested,antinested
Surmic,c0,0.0000,0.0000,nested,nested
Surmic,c1,0.0760,0.0500,nested,nested
Surmic,curveball,0.0040,0.0000,antinested,antinested
Surmic,r0,0.0000,0.1280,nested,nested
Surmic,r00,0.0000,0.0000,nested,nested
Surmic,r1,0.0000,0.0820,nested,antinested
Surmic,r2,0.0000,0.0000,nested,antinested
Surmic,swap,0.0140,0.0020,antinested,antinested
Ta_Ne_Omotic,c0,0.0000,0.0000,nested,nested
Ta_Ne_Omotic,c1,0.5080,0.0160,nested,nested
Ta_Ne_Omotic,curveball,0.0000,0.2480,antinested,nested
Ta_Ne_Omotic,r0,0.0000,0.0000,nested,nested
Ta_Ne_Omotic,r00,0.0000,0.0000,nested,nested
Ta_Ne_Omotic,r1,0.0000,0.1680,nested,antinested
Ta_Ne_Omotic,r2,0.0000,0.0000,nested,antinested
Ta_Ne_Omotic,swap,0.0000,0.2560,antinested,nested
Tai_Kadai,c0,0.0020,0.0000,antinested,nested
Tai_Kadai,c1,0.0000,0.0000,antinested,nested
Tai_Kadai,curveball,0.0000,0.0060,antinested,nested
Tai_Kadai,r0,0.0000,0.0000,nested,nested
Tai_Kadai,r00,0.0000,0.0000,nested,nested
Tai_Kadai,r1,0.0000,0.0000,nested,nested
Tai_Kadai,r2,0.0000,0.0000,nested,antinested
Tai_Kadai,swap,0.0000,0.0000,antinested,nested
Tucanoan,c0,0.9740,0.0240,nested,nested
Tucanoan,c1,0.4040,0.1800,antinested,nested
Tucanoan,curveball,0.0000,0.0580,antinested,antinested
Tucanoan,r0,0.0000,0.0000,nested,nested
Tucanoan,r00,0.0000,0.0000,nested,nested
Tucanoan,r1,0.0000,0.0000,nested,nested
Tucanoan,r2,0.0000,0.0000,nested,antinested
Tucanoan,swap,0.0080,0.0260,antinested,antinested
Tungusic,c0,0.3240,0.0380,nested,nested
Tungusic,c1,0.8780,0.4960,antinested,nested
Tungusic,curveball,0.0420,0.4540,antinested,nested
Tungusic,r0,0.0000,0.5880,nested,antinested
Tungusic,r00,0.0000,0.5360,nested,nested
Tungusic,r1,0.0000,0.0000,nested,antinested
Tungusic,r2,0.0000,0.0000,nested,antinested
Tungusic,swap,0.0480,0.5860,antinested,nested
Tupian,c0,0.0000,0.0000,nested,nested
Tupian,c1,0.1860,0.0000,nested,nested
Tupian,curveball,0.0040,0.0680,antinested,nested
Tupian,r0,0.0000,0.0000,nested,nested
Tupian,r00,0.0000,0.0000,nested,nested
Tupian,r1,0.0000,0.0000,nested,nested
Tupian,r2,0.0000,0.0000,nested,antinested
Tupian,swap,0.0140,0.0360,antinested,nested
Turkic,c0,0.0060,0.0000,antinested,nested
Turkic,c1,0.0000,0.0000,antinested,nested
Turkic,curveball,0.0040,0.0000,antinested,nested
Turkic,r0,0.0000,0.0000,nested,nested
Turkic,r00,0.0000,0.0000,nested,nested
Turkic,r1,0.0000,0.0000,nested,nested
Turkic,r2,0.0000,0.0000,nested,antinested
Turkic,swap,0.0000,0.0020,antinested,nested
Uralic,c0,0.0000,0.0000,nested,nested
Uralic,c1,0.0000,0.0000,nested,nested
Uralic,curveball,0.0020,0.0020,antinested,nested
Uralic,r0,0.0000,0.0000,nested,nested
Uralic,r00,0.0000,0.0000,nested,nested
Uralic,r1,0.0000,0.0000,nested,nested
Uralic,r2,0.0000,0.0000,nested,antinested
Uralic,swap,0.0240,0.0000,antinested,nested
Uto_Aztecan,c0,0.0000,0.0000,nested,nested
Uto_Aztecan,c1,0.4220,0.1360,nested,nested
Uto_Aztecan,curveball,0.0360,0.7220,antinested,antinested
Uto_Aztecan,r0,0.0000,0.0000,nested,nested
Uto_Aztecan,r00,0.0000,0.0000,nested,nested
Uto_Aztecan,r1,0.0000,0.7460,nested,antinested
Uto_Aztecan,r2,0.0000,0.0000,nested,antinested
Uto_Aztecan,swap,0.0580,0.8360,antinested,antinested
Western_Daly,c0,0.0000,0.0200,antinested,antinested
Western_Daly,c1,0.0000,0.0060,antinested,antinested
Western_Daly,curveball,0.0020,0.0040,antinested,antinested
Western_Daly,r0,0.5760,0.0920,nested,nested
Western_Daly,r00,0.4380,0.0480,nested,nested
Western_Daly,r1,0.5180,0.0220,antinested,antinested
Western_Daly,r2,0.1620,0.0000,nested,antinested
Western_Daly,swap,0.0000,0.0000,antinested,antinested
Worrorran,c0,0.4880,1.0000,antinested,antinested
Worrorran,c1,0.4320,0.9160,antinested,antinested
Worrorran,curveball,0.0180,0.0040,antinested,antinested
Worrorran,r0,0.0000,0.0020,antinested,nested
Worrorran,r00,0.0000,0.0380,antinested,nested
Worrorran,r1,0.0000,0.5660,antinested,nested
Worrorran,r2,0.0080,0.0200,antinested,antinested
Worrorran,swap,0.0140,0.0000,antinested,antinested
Yanomamic,c0,0.5140,0.0040,nested,nested
Yanomamic,c1,0.9560,0.0480,nested,nested
Yanomamic,curveball,0.0080,0.5180,antinested,antinested
Yanomamic,r0,0.4480,0.1440,nested,nested
Yanomamic,r00,0.0840,0.0000,nested,nested
Yanomamic,r1,0.7540,0.7720,nested,nested
Yanomamic,r2,0.6960,0.1700,nested,antinested
Yanomamic,swap,0.0080,0.7120,antinested,antinested
Zaparoan,c0,0.0000,0.2940,antinested,nested
Zaparoan,c1,0.0000,0.4120,antinested,nested
Zaparoan,curveball,0.0040,0.8020,antinested,nested
Zaparoan,r0,0.5560,0.1040,antinested,nested
Zaparoan,r00,0.6140,0.0440,antinested,nested
Zaparoan,r1,0.4140,0.8640,antinested,antinested
Zaparoan,r2,0.4220,0.0020,nested,antinested
Zaparoan,swap,0.0000,0.9080,antinested,nested
plant_knowledge_0,c0,0.0000,0.0000,nested,nested
plant_knowledge_0,c1,0.0000,0.0000,nested,nested
plant_knowledge_0,curveball,0.0220,0.0380,antinested,antinested
plant_knowledge_0,r0,0.0000,0.0000,nested,nested
plant_knowledge_0,r00,0.0000,0.0000,nested,nested
plant_knowledge_0,r1,0.0000,0.0000,nested,nested
plant_knowledge_0,r2,0.0000,0.0000,nested,nested
plant_knowledge_0,swap,0.0060,0.0040,antinested,antinested
plant_knowledge_1,c0,0.0000,0.0000,nested,nested
plant_knowledge_1,c1,0.0000,0.0000,nested,nested
plant_knowledge_1,curveball,0.0000,0.0000,antinested,antinested
plant_knowledge_1,r0,0.0000,0.0000,nested,nested
plant_knowledge_1,r00,0.0000,0.0000,nested,nested
plant_knowledge_1,r1,0.0000,0.0000,nested,nested
plant_knowledge_1,r2,0.0000,0.0000,nested,nested
plant_knowledge_1,swap,0.0940,0.0000,antinested,antinested
americanhistory,c0,0.0000,0.0000,nested,nested
americanhistory,c1,0.0000,0.0000,nested,nested
americanhistory,curveball,0.4880,0.5180,nested,nested
americanhistory,r0,0.0000,0.0000,nested,nested
americanhistory,r00,0.0000,0.0000,nested,nested
americanhistory,r1,0.0000,0.0000,nested,nested
americanhistory,r2,0.6780,0.0000,nested,antinested
americanhistory,swap,0.9900,0.0100,nested,antinested
solarsystem,c0,0.0000,0.0000,nested,nested
solarsystem,c1,0.0000,0.0000,nested,nested
solarsystem,curveball,0.9800,0.1080,antinested,antinested
solarsystem,r0,0.0000,0.0000,nested,nested
solarsystem,r00,0.0000,0.0000,nested,nested
solarsystem,r1,0.0000,0.0000,nested,nested
solarsystem,r2,0.0000,0.0000,nested,nested
solarsystem,swap,0.4340,0.1120,antinested,antinested
superheroes,c0,0.0000,0.0000,nested,nested
superheroes,c1,0.0000,0.0000,nested,nested
superheroes,curveball,0.6820,0.2980,antinested,nested
superheroes,r0,0.0000,0.0000,nested,nested
superheroes,r00,0.0000,0.0000,nested,nested
superheroes,r1,0.0000,0.0000,nested,nested
superheroes,r2,0.0000,0.0000,nested,nested
superheroes,swap,0.1120,0.2520,nested,nested
compiegne,c0,0.7600,0.1240,antinested,nested
compiegne,c1,0.7260,0.0000,antinested,nested
compiegne,curveball,0.0000,0.0000,nested,nested
compiegne,r0,0.4280,0.4280,antinested,nested
compiegne,r00,0.2060,0.0300,antinested,nested
compiegne,r1,0.4360,0.0000,antinested,nested
compiegne,r2,0.5380,0.0000,antinested,nested
